,review,projects,tenure,satisfaction,avg_hrs_month,emp_ID
0,Bottom 20%,Bottom 40%,Bottom 10%,Top 30%,Bottom 20%,0
1,Top 10%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%,1
2,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 50%,2
3,Top 40%,Top 10%,Top 20%,Top 50%,Top 20%,3
4,Top 30%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%,4
5,Top 40%,Bottom 5%,Bottom 10%,Top 40%,Bottom 10%,5
6,Bottom 40%,Top 10%,Bottom 20%,Top 10%,Bottom 20%,6
7,Bottom 5%,Top 20%,Top 40%,Top 10%,Top 50%,7
8,Top 50%,Top 20%,Bottom 40%,Top 10%,Bottom 40%,8
9,Bottom 50%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%,9
10,Bottom 20%,Top 20%,Bottom 10%,Top 40%,Bottom 10%,10
11,Top 10%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%,11
12,Bottom 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 40%,12
13,Bottom 50%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,13
14,Bottom 20%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%,14
15,Bottom 20%,Bottom 40%,Bottom 40%,Top 20%,Bottom 50%,15
16,Top 20%,Top 20%,Bottom 40%,Bottom 50%,Bottom 40%,16
17,Bottom 5%,Top 20%,Bottom 20%,Top 5%,Bottom 20%,17
18,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%,18
19,Bottom 10%,Bottom 40%,Bottom 40%,Top 10%,Bottom 50%,19
20,Top 40%,Bottom 5%,Top 40%,Top 50%,Top 40%,20
21,Top 10%,Bottom 5%,Bottom 40%,Bottom 30%,Bottom 30%,21
22,Bottom 30%,Top 20%,Bottom 40%,Bottom 50%,Bottom 40%,22
23,Bottom 5%,Bottom 40%,Bottom 5%,Top 5%,Bottom 5%,23
24,Top 30%,Top 20%,Bottom 10%,Top 40%,Bottom 20%,24
25,Bottom 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%,25
26,Bottom 30%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%,26
27,Bottom 40%,Top 20%,Bottom 5%,Top 10%,Bottom 5%,27
28,Bottom 30%,Top 20%,Bottom 10%,Top 10%,Bottom 20%,28
29,Top 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%,29
30,Bottom 40%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,30
31,Bottom 10%,Top 20%,Bottom 20%,Top 5%,Bottom 10%,31
32,Bottom 40%,Top 20%,Top 40%,Top 10%,Top 50%,32
33,Top 30%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%,33
34,Bottom 40%,Top 20%,Bottom 40%,Top 40%,Bottom 30%,34
35,Top 20%,Top 20%,Bottom 40%,Top 30%,Bottom 40%,35
36,Bottom 20%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%,36
37,Bottom 50%,Top 20%,Top 40%,Top 40%,Top 40%,37
38,Top 30%,Top 20%,Top 40%,Bottom 30%,Top 40%,38
39,Bottom 20%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%,39
40,Top 30%,Bottom 40%,Bottom 5%,Top 40%,Bottom 5%,40
41,Bottom 20%,Bottom 40%,Bottom 5%,Top 20%,Bottom 5%,41
42,Top 20%,Bottom 5%,Bottom 40%,Top 50%,Bottom 30%,42
43,Top 30%,Bottom 40%,Bottom 40%,Top 40%,Bottom 30%,43
44,Bottom 50%,Bottom 40%,Bottom 40%,Bottom 50%,Bottom 30%,44
45,Top 40%,Bottom 5%,Bottom 40%,Bottom 50%,Bottom 40%,45
46,Bottom 10%,Top 20%,Bottom 40%,Top 10%,Bottom 40%,46
47,Bottom 40%,Top 20%,Bottom 20%,Top 10%,Bottom 20%,47
48,Top 40%,Top 20%,Bottom 40%,Top 30%,Bottom 40%,48
49,Bottom 5%,Bottom 40%,Bottom 40%,Top 5%,Bottom 20%,49
50,Bottom 20%,Bottom 40%,Bottom 40%,Top 5%,Bottom 40%,50
51,Top 30%,Bottom 40%,Bottom 20%,Top 40%,Bottom 20%,51
52,Bottom 10%,Top 20%,Top 40%,Top 20%,Top 40%,52
53,Bottom 10%,Top 20%,Bottom 40%,Top 20%,Bottom 40%,53
54,Bottom 30%,Bottom 40%,Bottom 5%,Top 5%,Bottom 5%,54
55,Top 40%,Top 20%,Bottom 20%,Top 20%,Bottom 20%,55
56,Top 5%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%,56
57,Bottom 30%,Bottom 40%,Bottom 20%,Top 5%,Bottom 10%,57
58,Top 30%,Bottom 5%,Bottom 10%,Top 50%,Bottom 20%,58
59,Top 40%,Bottom 40%,Bottom 40%,Top 40%,Bottom 40%,59
60,Bottom 20%,Bottom 40%,Top 40%,Top 30%,Top 50%,60
61,Top 20%,Top 20%,Top 40%,Top 40%,Top 50%,61
62,Top 5%,Bottom 5%,Bottom 5%,Top 20%,Bottom 5%,62
63,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 50%,63
64,Bottom 20%,Bottom 40%,Bottom 40%,Top 10%,Bottom 20%,64
65,Top 10%,Top 20%,Bottom 40%,Bottom 50%,Bottom 40%,65
66,Bottom 30%,Top 20%,Bottom 10%,Top 30%,Bottom 10%,66
67,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 50%,67
68,Top 30%,Top 20%,Top 40%,Top 40%,Top 40%,68
69,Top 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 10%,69
70,Bottom 30%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%,70
71,Bottom 5%,Top 20%,Top 40%,Top 10%,Top 30%,71
72,Bottom 30%,Top 20%,Bottom 40%,Top 10%,Bottom 30%,72
73,Bottom 30%,Bottom 5%,Bottom 40%,Top 10%,Bottom 30%,73
74,Bottom 20%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%,74
75,Top 30%,Bottom 40%,Bottom 20%,Top 40%,Bottom 10%,75
76,Bottom 10%,Bottom 40%,Bottom 40%,Top 5%,Bottom 50%,76
77,Bottom 40%,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,77
78,Top 20%,Bottom 40%,Top 20%,Bottom 5%,Top 10%,78
79,Top 50%,Bottom 30%,Bottom 40%,Top 30%,Bottom 40%,79
80,Bottom 20%,Bottom 40%,Bottom 10%,Top 20%,Bottom 10%,80
81,Bottom 50%,Top 20%,Bottom 40%,Top 20%,Bottom 40%,81
82,Top 20%,Top 20%,Bottom 20%,Bottom 50%,Bottom 10%,82
