,emp_ID,department,promoted,review,projects,salary,tenure,satisfaction,bonus,avg_hrs_month,left
0,0,Operations,Not Promoted,0.5775686596355698,3,Low,5,0.6267589740293295,No Bonus,180.8660696668475,Stayed
1,1,Operations,Not Promoted,0.7518996607137884,3,Medium,6,0.4436789547574034,No Bonus,182.7081489616225,Stayed
2,2,Support,Not Promoted,0.7225484486077993,3,Medium,6,0.4468232240377964,No Bonus,184.41608403656517,Stayed
3,3,Logistics,Not Promoted,0.6751583086657402,4,High,8,0.4401387461171622,No Bonus,188.70754477573132,Stayed
4,4,Sales,Not Promoted,0.6762031747788921,3,High,5,0.5776074456916579,Bonus,179.8210832731211,Stayed
5,5,IT,Not Promoted,0.6832063469509659,2,Medium,5,0.5652518631559001,Bonus,178.8418791506508,Stayed
6,6,Admin,Not Promoted,0.6201580151095236,4,High,5,0.6869511701465508,No Bonus,181.14295615536426,Stayed
7,7,Support,Not Promoted,0.4995672619674808,4,Medium,7,0.720451118181815,Bonus,184.97753752486028,Stayed
8,8,Sales,Not Promoted,0.6528179533026041,4,Low,6,0.6786959372102828,No Bonus,183.65578980514968,Stayed
9,9,Sales,Not Promoted,0.6420305043944211,3,Medium,6,0.6233650093739659,No Bonus,181.8509998905145,Stayed
10,10,Support,Not Promoted,0.5626754376858702,4,Medium,5,0.5594676676578171,No Bonus,178.92719417309087,Stayed
11,11,Engineering,Not Promoted,0.7991111029647973,3,Medium,5,0.4325323607963424,Bonus,180.77952738075683,Stayed
12,12,Marketing,Not Promoted,0.6114193735102076,3,Low,6,0.502041001444069,No Bonus,183.66668563156085,Stayed
13,13,Operations,Not Promoted,0.6471073891917132,3,Medium,5,0.6240354756505071,No Bonus,181.30567680708663,Stayed
14,14,Sales,Not Promoted,0.5674485434116767,3,Medium,6,0.8452464576655928,No Bonus,181.75658430618995,Stayed
15,15,Finance,Not Promoted,0.5826514153122677,3,Medium,6,0.6080274074180824,No Bonus,184.0290110658382,Stayed
16,16,IT,Not Promoted,0.6796209222260405,4,Low,6,0.4802449946817246,No Bonus,183.42378733872826,Stayed
17,17,Admin,Not Promoted,0.4711184556686002,4,Low,5,0.8874390222449627,No Bonus,180.44372431964084,Stayed
18,18,Engineering,Not Promoted,0.6225236476627087,3,Medium,6,0.6883371488025413,No Bonus,182.54884545902505,Stayed
19,19,Operations,Not Promoted,0.5296950068551335,3,Medium,6,0.6828142013248505,Bonus,184.1247600031577,Stayed
20,20,Sales,Not Promoted,0.6697767182375025,2,Medium,7,0.5113506495685215,No Bonus,185.82707830673885,Stayed
21,21,Operations,Not Promoted,0.7500916300001673,2,Medium,6,0.419142305811949,No Bonus,181.8434836773905,Stayed
22,22,Operations,Not Promoted,0.6100633770422258,4,Medium,6,0.4982217824053588,No Bonus,183.60394450075802,Stayed
23,23,Engineering,Not Promoted,0.46749899556836,3,Medium,4,0.8295814031993304,No Bonus,178.01162167939643,Stayed
24,24,Retail,Not Promoted,0.6885670734816166,4,Medium,5,0.5426991821934312,Bonus,180.48625334826312,Stayed
25,25,Sales,Not Promoted,0.627223659199595,3,Medium,5,0.6844455547775476,No Bonus,180.7456084935124,Stayed
26,26,Operations,Not Promoted,0.5918944850036207,3,Medium,4,0.7212770934244079,Bonus,178.0905437973021,Stayed
27,27,Retail,Not Promoted,0.6162585336814315,4,Medium,4,0.7025056985390767,Bonus,176.15167483755084,Stayed
28,28,Retail,Not Promoted,0.5914821405053164,4,Medium,5,0.7023546160124783,No Bonus,180.88907378996475,Stayed
29,29,Retail,Not Promoted,0.6908321724689436,3,Medium,6,0.5008765767544668,No Bonus,181.7241903305195,Stayed
30,30,Marketing,Not Promoted,0.6300733790124736,3,Medium,5,0.6609268573437189,No Bonus,180.02873378813337,Stayed
31,31,Sales,Not Promoted,0.5555603174156765,4,Medium,5,0.8519849587203124,No Bonus,179.06470050863825,Stayed
32,32,Engineering,Not Promoted,0.6270369776844729,4,Medium,7,0.7026625742533202,No Bonus,185.16669728483043,Stayed
33,33,Operations,Not Promoted,0.6856121571751148,3,Medium,6,0.4659618069962401,No Bonus,181.77372691498226,Stayed
34,34,Sales,Not Promoted,0.6345367505463619,4,Medium,6,0.5529165583410175,No Bonus,182.27997152617982,Stayed
35,35,Logistics,Not Promoted,0.7236441829720717,4,Medium,6,0.5877857368167585,No Bonus,183.0227822186544,Stayed
36,36,Marketing,Not Promoted,0.5911776324779148,3,Medium,6,0.6149236371110178,No Bonus,183.69801434407108,Stayed
37,37,Support,Not Promoted,0.6367893992432923,4,Medium,7,0.5410769878643048,No Bonus,186.2136891796732,Stayed
38,38,IT,Not Promoted,0.7071131172426204,4,Medium,7,0.3779031967583495,No Bonus,186.51716086196285,Stayed
39,39,Operations,Not Promoted,0.5776234457332885,3,Medium,6,0.6461752310900448,Bonus,181.7507922797081,Stayed
40,40,Retail,Not Promoted,0.6999524080703423,3,Medium,4,0.5504461538720662,No Bonus,176.31290824336003,Stayed
41,41,Sales,Not Promoted,0.5731010955493793,3,Medium,4,0.6394255433824719,No Bonus,176.45809696568878,Stayed
42,42,Engineering,Not Promoted,0.7202867552381458,2,Medium,6,0.506979313204842,Bonus,181.8668819687106,Stayed
43,43,Retail,Not Promoted,0.6823341553925222,3,Medium,6,0.5278699465922443,Bonus,181.9661193475523,Stayed
44,44,Engineering,Not Promoted,0.6359951538950688,3,Medium,6,0.4951358908552126,No Bonus,181.82911679737643,Stayed
45,45,Engineering,Not Promoted,0.6753547559991443,2,Medium,6,0.4914092709016585,No Bonus,183.43125430468376,Stayed
46,46,Engineering,Not Promoted,0.5589059368726803,4,Medium,6,0.7281192627756387,No Bonus,182.9686036721307,Stayed
47,47,Sales,Not Promoted,0.6199639809709174,4,Low,5,0.6894421271816297,No Bonus,179.9664208582378,Stayed
48,48,Sales,Not Promoted,0.6530217713871465,4,High,6,0.6054550365165953,No Bonus,183.72673732081168,Stayed
49,49,Support,Not Promoted,0.5205741772124002,3,Medium,6,0.7741998491831977,No Bonus,181.59116478419293,Stayed
50,50,Support,Not Promoted,0.578368576083135,3,Medium,6,0.7579841753951984,No Bonus,183.13264461009223,Stayed
51,51,Sales,Not Promoted,0.7050696253353266,3,Medium,5,0.5714610691223824,No Bonus,180.46072352426287,Stayed
52,52,Marketing,Not Promoted,0.5213912974172157,4,Medium,7,0.6538590558630168,Bonus,185.64984554650314,Stayed
53,53,Engineering,Not Promoted,0.5504279727714804,4,Medium,6,0.6533459480077577,No Bonus,182.78001991357297,Stayed
54,54,Sales,Not Promoted,0.6042854937545139,3,Medium,4,0.7872482364074614,No Bonus,177.791425900699,Stayed
55,55,Marketing,Not Promoted,0.6810733871455452,4,Medium,5,0.6274556042516714,No Bonus,180.6106774864176,Stayed
56,56,Logistics,Not Promoted,0.8041615012829533,3,Medium,5,0.4631632527126309,No Bonus,181.1262849563456,Stayed
57,57,Marketing,Not Promoted,0.5965759795050458,3,Medium,5,0.8272357373895168,No Bonus,178.93291134697537,Stayed
58,58,IT,Not Promoted,0.695907776631755,2,Medium,5,0.5284612592951008,Bonus,180.50328936818696,Stayed
59,59,Engineering,Not Promoted,0.6774578042853869,3,Medium,6,0.5490780665132887,No Bonus,183.14110509699083,Stayed
60,60,IT,Not Promoted,0.5815804606467716,3,Medium,7,0.6212805119742986,Bonus,185.4414056347504,Stayed
61,61,Support,Not Promoted,0.7125323341212262,4,Medium,7,0.5582106354524131,No Bonus,184.99202383034302,Stayed
62,62,Sales,Not Promoted,0.8080600062946809,2,Medium,4,0.6282520106748396,No Bonus,176.73770636291744,Stayed
