,review,projects,tenure,satisfaction,avg_hrs_month
0,Bottom 20%,Bottom 40%,Bottom 10%,Top 30%,Bottom 20%
1,Top 10%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%
2,Top 20%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 50%
3,Top 40%,Top 10%,Top 20%,Top 50%,Top 20%
4,Top 30%,Bottom 40%,Bottom 20%,Top 30%,Bottom 10%
5,Top 40%,Bottom 5%,Bottom 10%,Top 40%,Bottom 10%
6,Bottom 40%,Top 10%,Bottom 20%,Top 10%,Bottom 20%
7,Bottom 5%,Top 20%,Top 40%,Top 10%,Top 50%
8,Top 50%,Top 20%,Bottom 40%,Top 10%,Bottom 40%
9,Bottom 50%,Bottom 40%,Bottom 40%,Top 20%,Bottom 30%
10,Bottom 20%,Top 20%,Bottom 10%,Top 40%,Bottom 10%
11,Top 10%,Bottom 40%,Bottom 20%,Bottom 40%,Bottom 20%
12,Bottom 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 40%
13,Bottom 50%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
14,Bottom 20%,Bottom 40%,Bottom 40%,Top 5%,Bottom 30%
15,Bottom 20%,Bottom 40%,Bottom 40%,Top 20%,Bottom 50%
16,Top 20%,Top 20%,Bottom 40%,Bottom 50%,Bottom 40%
17,Bottom 5%,Top 20%,Bottom 20%,Top 5%,Bottom 20%
18,Bottom 40%,Bottom 40%,Bottom 40%,Top 10%,Bottom 30%
19,Bottom 10%,Bottom 40%,Bottom 40%,Top 10%,Bottom 50%
20,Top 40%,Bottom 5%,Top 40%,Top 50%,Top 40%
21,Top 10%,Bottom 5%,Bottom 40%,Bottom 30%,Bottom 30%
22,Bottom 30%,Top 20%,Bottom 40%,Bottom 50%,Bottom 40%
23,Bottom 5%,Bottom 40%,Bottom 5%,Top 5%,Bottom 5%
24,Top 30%,Top 20%,Bottom 10%,Top 40%,Bottom 20%
25,Bottom 40%,Bottom 40%,Bottom 20%,Top 10%,Bottom 20%
26,Bottom 30%,Bottom 40%,Bottom 5%,Top 10%,Bottom 5%
27,Bottom 40%,Top 20%,Bottom 5%,Top 10%,Bottom 5%
28,Bottom 30%,Top 20%,Bottom 10%,Top 10%,Bottom 20%
29,Top 30%,Bottom 40%,Bottom 40%,Top 50%,Bottom 30%
30,Bottom 40%,Bottom 40%,Bottom 20%,Top 20%,Bottom 20%
31,Bottom 10%,Top 20%,Bottom 20%,Top 5%,Bottom 10%
32,Bottom 40%,Top 20%,Top 40%,Top 10%,Top 50%
33,Top 30%,Bottom 40%,Bottom 40%,Bottom 40%,Bottom 30%
34,Bottom 40%,Top 20%,Bottom 40%,Top 40%,Bottom 30%
35,Top 20%,Top 20%,Bottom 40%,Top 30%,Bottom 40%
36,Bottom 20%,Bottom 40%,Bottom 40%,Top 30%,Bottom 50%
37,Bottom 50%,Top 20%,Top 40%,Top 40%,Top 40%
